members,size,sum_weight,ID
"DEU,FRA,NLD,PRT",4,77.0,1
"FRA,ITA,NLD,PRT",4,76.0,2
"BEL,CHE,ITA,JPN",4,75.0,3
"BGR,HRV,ROU",3,37.0,4
"CHE,GBR,ITA",3,37.0,5
"ESP,ITA,PRT",3,37.0,6
