共识ID,配色HEX,国家数,国家列表,簇内平均重叠
1,#3e95d2,8,"AUT, BEL, CHE, ESP, ITA, JPN, NLD, PRT",11.94
2,#47c247,3,"DEU, FRA, GBR",13.22
3,#b295cc,2,"DNK, FIN",13.00
4,#a9766b,2,"CAN, IRL",12.50
5,#e9aed7,2,"NOR, SWE",12.50
6,#9e9e9e,2,"AUS, KOR",13.50
7,#d2d349,1,NZL,15.00
8,#45d0df,3,"CZE, POL, SVN",11.22
9,#3e95d2,1,LUX,15.00
10,#47c247,3,"GRC, HUN, SVK",12.33
11,#b295cc,3,"EST, LTU, LVA",12.78
12,#a9766b,2,"ARG, IDN",14.50
13,#e9aed7,1,MLT,15.00
14,#9e9e9e,3,"PER, RUS, SAU",11.67
15,#d2d349,4,"BGR, HRV, IND, ROU",12.38
16,#45d0df,3,"CHN, MEX, TUR",11.89
17,#3e95d2,2,"CHL, ISR",12.50
18,#47c247,3,"COL, ISL, ZAF",12.78
19,#b295cc,1,CRI,15.00
