共识ID,配色HEX,国家数,国家列表,簇内平均重叠
1,#3e95d2,17,"AUT, BEL, CAN, CHE, DEU, DNK, ESP, FIN, FRA, GBR, IRL, ITA, JPN, NLD, NOR, PRT, SWE",10.47
2,#47c247,3,"AUS, KOR, NZL",11.44
3,#b295cc,10,"CZE, EST, GRC, HUN, LTU, LUX, LVA, POL, SVK, SVN",9.68
4,#a9766b,10,"ARG, BGR, HRV, IDN, IND, MLT, PER, ROU, RUS, SAU",10.36
5,#e9aed7,9,"CHL, CHN, COL, CRI, ISL, ISR, MEX, TUR, ZAF",9.27
