共识ID,配色HEX,国家数,国家列表,簇内平均重叠
1,#3e95d2,8,"AUT, BEL, CHE, ESP, ITA, JPN, NLD, PRT",11.94
2,#47c247,9,"CAN, DEU, DNK, FIN, FRA, GBR, IRL, NOR, SWE",10.48
3,#b295cc,3,"AUS, KOR, NZL",11.44
4,#a9766b,4,"CZE, LUX, POL, SVN",10.50
5,#e9aed7,3,"GRC, HUN, SVK",12.33
6,#9e9e9e,3,"EST, LTU, LVA",12.78
7,#d2d349,6,"ARG, IDN, MLT, PER, RUS, SAU",11.33
8,#45d0df,4,"BGR, HRV, IND, ROU",12.38
9,#3e95d2,5,"CHL, CHN, ISR, MEX, TUR",9.88
10,#47c247,4,"COL, CRI, ISL, ZAF",11.38
