Threshold条件,等价最小重叠,共识ID,核心-边缘,配色HEX,国家数,国家列表,簇内最小重叠(非对角),簇内平均重叠(非对角),阈值校验(最小重叠>=等价门槛)
"Overlap ∈ (6, +∞]  (等价: Overlap ≥ 7)",7,1,Core,#3e95d2,3,"HUN, SVK, SVN",9,11.00,True
"Overlap ∈ (6, +∞]  (等价: Overlap ≥ 7)",7,2,Core,#47c247,2,"GRC, LTU",11,11.00,True
"Overlap ∈ (6, +∞]  (等价: Overlap ≥ 7)",7,3,Core,#b295cc,5,"AUS, CAN, ESP, KOR, NZL",7,9.90,True
"Overlap ∈ (6, +∞]  (等价: Overlap ≥ 7)",7,4,Core,#a9766b,3,"EST, LUX, LVA",10,11.00,True
"Overlap ∈ (6, +∞]  (等价: Overlap ≥ 7)",7,5,Core,#e9aed7,2,"CHL, ISR",10,10.00,True
"Overlap ∈ (6, +∞]  (等价: Overlap ≥ 7)",7,6,Core,#9e9e9e,3,"CHN, MEX, TUR",10,10.33,True
"Overlap ∈ (6, +∞]  (等价: Overlap ≥ 7)",7,7,Core,#d2d349,8,"DEU, DNK, FIN, FRA, GBR, IRL, NLD, PRT",9,11.07,True
"Overlap ∈ (6, +∞]  (等价: Overlap ≥ 7)",7,8,Core,#45d0df,2,"NOR, SWE",10,10.00,True
"Overlap ∈ (6, +∞]  (等价: Overlap ≥ 7)",7,9,Core,#3e95d2,7,"AUT, BEL, CHE, CZE, ITA, JPN, POL",8,10.52,True
"Overlap ∈ (6, +∞]  (等价: Overlap ≥ 7)",7,10,Core,#47c247,8,"ARG, BGR, HRV, IDN, MLT, PER, ROU, RUS",7,10.25,True
"Overlap ∈ (6, +∞]  (等价: Overlap ≥ 7)",7,11,Core,#b295cc,2,"IND, SAU",10,10.00,True
"Overlap ∈ (6, +∞]  (等价: Overlap ≥ 7)",7,12,Core,#a9766b,4,"COL, CRI, ISL, ZAF",8,10.17,True
