共识ID,配色HEX,国家数,国家列表,簇内平均重叠
1,#3e95d2,8,"AUT, BEL, CHE, ESP, ITA, JPN, NLD, PRT",11.94
2,#47c247,9,"CAN, DEU, DNK, FIN, FRA, GBR, IRL, NOR, SWE",10.48
3,#b295cc,3,"AUS, KOR, NZL",11.44
4,#a9766b,7,"CZE, GRC, HUN, LUX, POL, SVK, SVN",9.82
5,#e9aed7,3,"EST, LTU, LVA",12.78
6,#9e9e9e,6,"ARG, IDN, MLT, PER, RUS, SAU",11.33
7,#d2d349,4,"BGR, HRV, IND, ROU",12.38
8,#45d0df,5,"CHL, CHN, ISR, MEX, TUR",9.88
9,#3e95d2,4,"COL, CRI, ISL, ZAF",11.38
