共识ID,配色HEX,国家数,国家列表,簇内平均重叠
1,#3e95d2,4,"BEL, CHE, ITA, JPN",13.12
2,#47c247,4,"AUT, ESP, NLD, PRT",12.25
3,#b295cc,3,"DEU, FRA, GBR",13.22
4,#a9766b,2,"DNK, FIN",13.00
5,#e9aed7,2,"CAN, IRL",12.50
6,#9e9e9e,2,"NOR, SWE",12.50
7,#d2d349,2,"AUS, KOR",13.50
8,#45d0df,1,NZL,15.00
9,#3e95d2,2,"CZE, POL",13.00
10,#47c247,1,SVN,15.00
11,#b295cc,1,LUX,15.00
12,#a9766b,3,"GRC, HUN, SVK",12.33
13,#e9aed7,3,"EST, LTU, LVA",12.78
14,#9e9e9e,2,"ARG, IDN",14.50
15,#d2d349,1,MLT,15.00
16,#45d0df,3,"PER, RUS, SAU",11.67
17,#3e95d2,4,"BGR, HRV, IND, ROU",12.38
18,#47c247,3,"CHN, MEX, TUR",11.89
19,#b295cc,2,"CHL, ISR",12.50
20,#a9766b,3,"COL, ISL, ZAF",12.78
21,#e9aed7,1,CRI,15.00
