共识ID,配色HEX,国家数,国家列表,簇内平均重叠
1,#3e95d2,8,"AUT, BEL, CHE, ESP, ITA, JPN, NLD, PRT",11.94
2,#47c247,5,"DEU, DNK, FIN, FRA, GBR",11.96
3,#b295cc,2,"CAN, IRL",12.50
4,#a9766b,2,"NOR, SWE",12.50
5,#e9aed7,2,"AUS, KOR",13.50
6,#9e9e9e,1,NZL,15.00
7,#d2d349,3,"CZE, POL, SVN",11.22
8,#45d0df,1,LUX,15.00
9,#3e95d2,3,"GRC, HUN, SVK",12.33
10,#47c247,3,"EST, LTU, LVA",12.78
11,#b295cc,3,"ARG, IDN, MLT",13.22
12,#a9766b,3,"PER, RUS, SAU",11.67
13,#e9aed7,4,"BGR, HRV, IND, ROU",12.38
14,#9e9e9e,3,"CHN, MEX, TUR",11.89
15,#d2d349,2,"CHL, ISR",12.50
16,#45d0df,4,"COL, CRI, ISL, ZAF",11.38
