Threshold条件,等价最小重叠,共识ID,核心-边缘,配色HEX,国家数,国家列表,簇内最小重叠(非对角),簇内平均重叠(非对角),阈值校验(最小重叠>=等价门槛)
Overlap > 15,16,1,Periphery,#3e95d2,1,HUN,,,True
Overlap > 15,16,2,Periphery,#47c247,1,SVK,,,True
Overlap > 15,16,3,Periphery,#b295cc,1,SVN,,,True
Overlap > 15,16,4,Periphery,#a9766b,1,GRC,,,True
Overlap > 15,16,5,Periphery,#e9aed7,1,LTU,,,True
Overlap > 15,16,6,Periphery,#9e9e9e,1,ESP,,,True
Overlap > 15,16,7,Periphery,#d2d349,1,CAN,,,True
Overlap > 15,16,8,Periphery,#45d0df,1,AUS,,,True
Overlap > 15,16,9,Periphery,#3e95d2,1,KOR,,,True
Overlap > 15,16,10,Periphery,#47c247,1,NZL,,,True
Overlap > 15,16,11,Periphery,#b295cc,1,LVA,,,True
Overlap > 15,16,12,Periphery,#a9766b,1,EST,,,True
Overlap > 15,16,13,Periphery,#e9aed7,1,LUX,,,True
Overlap > 15,16,14,Periphery,#9e9e9e,1,ISR,,,True
Overlap > 15,16,15,Periphery,#d2d349,1,CHL,,,True
Overlap > 15,16,16,Periphery,#45d0df,1,TUR,,,True
Overlap > 15,16,17,Periphery,#3e95d2,1,MEX,,,True
Overlap > 15,16,18,Periphery,#47c247,1,CHN,,,True
Overlap > 15,16,19,Periphery,#b295cc,1,NLD,,,True
Overlap > 15,16,20,Periphery,#a9766b,1,PRT,,,True
Overlap > 15,16,21,Periphery,#e9aed7,1,FRA,,,True
Overlap > 15,16,22,Periphery,#9e9e9e,1,DEU,,,True
Overlap > 15,16,23,Periphery,#d2d349,1,IRL,,,True
Overlap > 15,16,24,Periphery,#45d0df,1,DNK,,,True
Overlap > 15,16,25,Periphery,#3e95d2,1,FIN,,,True
Overlap > 15,16,26,Periphery,#47c247,1,GBR,,,True
Overlap > 15,16,27,Periphery,#b295cc,1,SWE,,,True
Overlap > 15,16,28,Periphery,#a9766b,1,NOR,,,True
Overlap > 15,16,29,Periphery,#e9aed7,1,BEL,,,True
Overlap > 15,16,30,Periphery,#9e9e9e,1,CHE,,,True
Overlap > 15,16,31,Periphery,#d2d349,1,JPN,,,True
Overlap > 15,16,32,Periphery,#45d0df,1,ITA,,,True
Overlap > 15,16,33,Periphery,#3e95d2,1,AUT,,,True
Overlap > 15,16,34,Periphery,#47c247,1,CZE,,,True
Overlap > 15,16,35,Periphery,#b295cc,1,POL,,,True
Overlap > 15,16,36,Periphery,#a9766b,1,BGR,,,True
Overlap > 15,16,37,Periphery,#e9aed7,1,ROU,,,True
Overlap > 15,16,38,Periphery,#9e9e9e,1,HRV,,,True
Overlap > 15,16,39,Periphery,#d2d349,1,ARG,,,True
Overlap > 15,16,40,Periphery,#45d0df,1,IDN,,,True
Overlap > 15,16,41,Periphery,#3e95d2,1,MLT,,,True
Overlap > 15,16,42,Periphery,#47c247,1,RUS,,,True
Overlap > 15,16,43,Periphery,#b295cc,1,PER,,,True
Overlap > 15,16,44,Periphery,#a9766b,1,IND,,,True
Overlap > 15,16,45,Periphery,#e9aed7,1,SAU,,,True
Overlap > 15,16,46,Periphery,#9e9e9e,1,ZAF,,,True
Overlap > 15,16,47,Periphery,#d2d349,1,COL,,,True
Overlap > 15,16,48,Periphery,#45d0df,1,ISL,,,True
Overlap > 15,16,49,Periphery,#3e95d2,1,CRI,,,True
