共识ID,配色HEX,国家数,国家列表,簇内平均重叠
1,#3e95d2,17,"AUT, BEL, CAN, CHE, DEU, DNK, ESP, FIN, FRA, GBR, IRL, ITA, JPN, NLD, NOR, PRT, SWE",10.47
2,#47c247,3,"AUS, KOR, NZL",11.44
3,#b295cc,7,"CZE, GRC, HUN, LUX, POL, SVK, SVN",9.82
4,#a9766b,3,"EST, LTU, LVA",12.78
5,#e9aed7,6,"ARG, IDN, MLT, PER, RUS, SAU",11.33
6,#9e9e9e,4,"BGR, HRV, IND, ROU",12.38
7,#d2d349,5,"CHL, CHN, ISR, MEX, TUR",9.88
8,#45d0df,4,"COL, CRI, ISL, ZAF",11.38
