members,size,sum_weight,ID
"AUT,DNK,ESP,FIN,FRA,IRL,PRT",7,254.0,1
"AUT,BEL,DNK,ESP,FIN,FRA,PRT",7,250.0,2
"AUT,BEL,DNK,FIN,FRA,POL,PRT",7,247.0,3
"AUT,BEL,DNK,ESP,HUN,ITA",6,178.0,4
"AUT,ESP,HUN,SVK",4,77.0,5
"DNK,FIN,FRA,GBR",4,75.0,6
"FIN,FRA,GBR,SWE",4,72.0,7
"BEL,DEU,FRA,PRT",4,68.0,8
"BEL,CZE,JPN,POL",4,66.0,9
"HRV,MLT,ROU",3,37.0,10
"BGR,HRV,ROU",3,37.0,11
"EST,LTU,LVA",3,36.0,12
"BEL,ITA,NLD",3,35.0,13
