共识ID,配色HEX,国家数,国家列表,簇内平均重叠
1,#3e95d2,8,"DEU, DNK, FIN, FRA, GBR, IRL, PRT, SWE",11.78
2,#47c247,12,"AUT, BEL, CZE, ESP, HUN, ITA, JPN, NLD, NOR, POL, SVK, SVN",10.44
3,#b295cc,6,"CHL, COL, CRI, ISL, ISR, ZAF",9.06
4,#a9766b,4,"ARG, MLT, PER, SAU",11.12
5,#e9aed7,5,"HRV, IDN, IND, ROU, RUS",11.00
6,#9e9e9e,5,"BGR, EST, LTU, LUX, LVA",10.68
7,#d2d349,4,"AUS, CHN, MEX, TUR",8.50
8,#45d0df,2,"CAN, NZL",12.00
9,#3e95d2,3,"CHE, GRC, KOR",11.89
