Threshold条件,等价最小重叠,共识ID,核心-边缘,配色HEX,国家数,国家列表,簇内最小重叠(非对角),簇内平均重叠(非对角),阈值校验(最小重叠>=等价门槛)
"Overlap ∈ (4, +∞]  (等价: Overlap ≥ 5)",5,1,Core,#3e95d2,20,"AUT, BEL, CZE, DEU, DNK, ESP, FIN, FRA, GBR, HUN, IRL, ITA, JPN, NLD, NOR, POL, PRT, SVK, SVN, SWE",5,9.79,True
"Overlap ∈ (4, +∞]  (等价: Overlap ≥ 5)",5,2,Core,#47c247,4,"AUS, CAN, CHE, NZL",7,8.17,True
"Overlap ∈ (4, +∞]  (等价: Overlap ≥ 5)",5,3,Core,#b295cc,8,"CHN, EST, GRC, KOR, LTU, LUX, LVA, MEX",5,8.21,True
"Overlap ∈ (4, +∞]  (等价: Overlap ≥ 5)",5,4,Core,#a9766b,5,"BGR, HRV, MLT, ROU, RUS",9,10.90,True
"Overlap ∈ (4, +∞]  (等价: Overlap ≥ 5)",5,5,Core,#e9aed7,4,"CHL, IDN, IND, TUR",7,9.17,True
"Overlap ∈ (4, +∞]  (等价: Overlap ≥ 5)",5,6,Core,#9e9e9e,8,"ARG, COL, CRI, ISL, ISR, PER, SAU, ZAF",6,8.04,True
