共识ID,配色HEX,国家数,国家列表,簇内平均重叠
1,#3e95d2,3,"DEU, GBR, SWE",12.33
2,#47c247,5,"DNK, FIN, FRA, IRL, PRT",13.32
3,#b295cc,5,"BEL, JPN, NLD, NOR, POL",11.48
4,#a9766b,1,CZE,15.00
5,#e9aed7,5,"AUT, ESP, HUN, ITA, SVK",12.84
6,#9e9e9e,1,SVN,15.00
7,#d2d349,2,"ISL, ZAF",13.00
8,#45d0df,3,"COL, CRI, ISR",10.33
9,#3e95d2,1,CHL,15.00
10,#47c247,2,"PER, SAU",13.00
11,#b295cc,2,"ARG, MLT",12.50
12,#a9766b,2,"IDN, IND",13.50
13,#e9aed7,3,"HRV, ROU, RUS",12.78
14,#9e9e9e,2,"BGR, LUX",12.50
15,#d2d349,3,"EST, LTU, LVA",13.00
16,#45d0df,1,CHN,15.00
17,#3e95d2,1,MEX,15.00
18,#47c247,2,"AUS, TUR",12.00
19,#b295cc,2,"CAN, NZL",12.00
20,#a9766b,3,"CHE, GRC, KOR",11.89
