共识ID,配色HEX,国家数,国家列表,簇内平均重叠
1,#3e95d2,8,"DEU, DNK, FIN, FRA, GBR, IRL, PRT, SWE",11.78
2,#47c247,12,"AUT, BEL, CZE, ESP, HUN, ITA, JPN, NLD, NOR, POL, SVK, SVN",10.44
3,#b295cc,6,"CHL, COL, CRI, ISL, ISR, ZAF",9.06
4,#a9766b,9,"ARG, HRV, IDN, IND, MLT, PER, ROU, RUS, SAU",9.74
5,#e9aed7,5,"BGR, EST, LTU, LUX, LVA",10.68
6,#9e9e9e,9,"AUS, CAN, CHE, CHN, GRC, KOR, MEX, NZL, TUR",8.06
